Year,Total, Bulgarian, Turkish, Roma, Other 2, Not stated 3
1900,3744283,2888219,531240,89549,235275,-
1905,4035575,3203810,488010,99004,244751,-
1910,4337513,3518756,465641,122296,230820,-
1920,4846971,4036056,520339,98451,192125,-
1926,5478741,4557706,577552,134844,208639,-
1934,6077939,5204217,591193,149385,133144,-
1946,7029349,5903580,675500,170011,280258,-
1956,7613709,6506541,656025,197865,253278,-
1965,8227966,7231243,780928,148874,66921,-
1975,8727771,7930024,730728,18323,48696,-
1992,8487317,7271185,800052,313396,94203,8481
2001,7928901,6655210,746664,370908,94011,62108
2011,7364570,5664624,588318,325343,49304,736981
2021,6519789,5118494,508378,266720,79006,547191
